PO_Number,Supplier_ID,PO_Date,PO_Amount,Currency,Department,Requestor,Description,Line_Item_Count
PO-00001,SUP-029,2025-12-07,6010.89,USD,Finance,User_8,Bank Transaction Fees,4
PO-00002,SUP-043,2025-03-26,36955.33,USD,Finance,User_19,Bank Transaction Fees,7
PO-00003,SUP-038,2025-01-30,1974.96,USD,Operations,User_17,Office Supplies - Paper/Pens/Ink,10
PO-00004,SUP-046,2025-01-27,28281.63,USD,Operations,User_15,Waste Management Services,10
PO-00005,SUP-036,2025-06-05,40566.81,USD,Finance,User_14,Audit Services - FY2025,6
PO-00006,SUP-044,2025-06-05,8196.24,USD,Finance,User_3,Financial Reporting Software - Seat License,7
PO-00007,SUP-040,2025-03-04,18269.48,USD,Marketing,User_2,Video Production Services - Promo,8
PO-00008,SUP-030,2025-10-15,6678.9,USD,IT,User_18,Monitor 27-inch 4K - Dell UltraSharp,5
PO-00009,SUP-044,2025-12-01,31116.73,USD,Finance,User_3,Financial Reporting Software - Seat License,1
PO-00010,SUP-022,2025-12-18,11780.96,USD,Finance,User_8,Financial Reporting Software - Seat License,2
PO-00011,SUP-048,2025-07-27,14259.69,USD,Finance,User_6,Bank Transaction Fees,6
PO-00012,SUP-004,2025-07-14,10870.6,USD,Operations,User_20,Breakroom Snacks and Coffee,3
PO-00013,SUP-030,2025-10-14,36591.78,EUR,IT,User_13,Cisco Meraki MR56 Access Points,5
PO-00014,SUP-003,2025-12-07,34564.02,USD,IT,User_2,Lenovo ThinkPad X1 Carbon Gen 9,4
PO-00015,SUP-013,2025-01-30,40349.77,USD,IT,User_3,Monitor 27-inch 4K - Dell UltraSharp,4
PO-00016,SUP-016,2025-10-31,43880.2,USD,Operations,User_16,Facilities Management Retainer,7
PO-00017,SUP-014,2025-12-09,23213.17,USD,Finance,User_8,Financial Reporting Software - Seat License,9
PO-00018,SUP-043,2025-10-16,13505.71,EUR,Finance,User_19,Corporate Insurance Premium,7
PO-00019,SUP-031,2025-07-18,11356.38,EUR,Marketing,User_3,Google Ads Spend - September,1
PO-00020,SUP-050,2025-03-11,8065.65,EUR,Operations,User_20,HVAC Maintenance and Repair,2
PO-00021,SUP-048,2025-07-30,19390.15,USD,Finance,User_18,Payroll Processing Fees - Oct,1
PO-00022,SUP-019,2025-12-28,36175.73,USD,Operations,User_4,Breakroom Snacks and Coffee,5
PO-00023,SUP-024,2025-08-24,8328.81,USD,IT,User_17,Dell Latitude 5520 Laptop (Count: 5),3
PO-00024,SUP-016,2025-09-30,45675.08,USD,Operations,User_5,Breakroom Snacks and Coffee,6
PO-00025,SUP-003,2025-04-06,27199.26,USD,IT,User_16,Dell Latitude 5520 Laptop (Count: 5),1
PO-00026,SUP-016,2025-03-12,46490.38,USD,Operations,User_2,Breakroom Snacks and Coffee,4
PO-00027,SUP-001,2025-10-31,47374.0,EUR,Operations,User_3,Security Guard Services - Nov,9
PO-00028,SUP-043,2025-03-19,6855.38,USD,Finance,User_9,Payroll Processing Fees - Oct,9
PO-00029,SUP-016,2025-11-20,21445.33,USD,Operations,User_10,Office Supplies - Paper/Pens/Ink,7
